How Music Works,http://books.toscrape.com/catalogue/how-music-works_979/../../media/cache/1d/40/1d4087ff0a63f09fae9cd8433d21c2c4.jpg,Two,37.32,In stock (19 available),music_14,http://books.toscrape.com/catalogue/category/books/music_14/index.html
Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More,http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/../../media/cache/9f/58/9f58d3ff6d58589eaf325b1a33c303a0.jpg,Three,30.52,In stock (19 available),food-and-drink_33,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
Chase Me (Paris Nights #2),http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/../../media/cache/6c/84/6c84fcf7a53b02b6e763de7272934842.jpg,Five,25.27,In stock (19 available),romance_8,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
Black Dust,http://books.toscrape.com/catalogue/black-dust_976/../../media/cache/a4/0a/a40af95beab828af1a4757ad1ee17da3.jpg,Five,34.53,In stock (19 available),romance_8,http://books.toscrape.com/catalogue/category/books/romance_8/index.html
Birdsong: A Story in Pictures,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/../../media/cache/af/2f/af2fe2419ea136f2cd567aa92082c3ae.jpg,Three,54.64,In stock (19 available),childrens_11,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/../../media/cache/a3/2a/a32ab3b8c024c6c2b274a86b185e7585.jpg,Three,22.5,In stock (19 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Aladdin and His Wonderful Lamp,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/../../media/cache/a8/3c/a83c460fab82f35a37c0846729485547.jpg,Three,53.13,In stock (19 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/../../media/cache/7b/d9/7bd93db091d736d0c6ff9d578e3ba3d7.jpg,Five,40.3,In stock (18 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Wall and Piece,http://books.toscrape.com/catalogue/wall-and-piece_971/../../media/cache/df/34/df346322ddfdd3b4da0e34cad17f49dc.jpg,Four,44.18,In stock (18 available),art_25,http://books.toscrape.com/catalogue/category/books/art_25/index.html
The Four Agreements: A Practical Guide to Personal Freedom,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/../../media/cache/2b/1b/2b1bfecae9d512cb6ee943ccf786216f.jpg,Five,17.66,In stock (18 available),spirituality_39,http://books.toscrape.com/catalogue/category/books/spirituality_39/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/../../media/cache/7c/10/7c10101fe1759c5a17ba57e4bef9e764.jpg,Three,31.05,In stock (18 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
The Elephant Tree,http://books.toscrape.com/catalogue/the-elephant-tree_968/../../media/cache/4b/80/4b80a3d9148e224ed4d6cd4d33f43728.jpg,Five,23.82,In stock (18 available),thriller_37,http://books.toscrape.com/catalogue/category/books/thriller_37/index.html
The Bear and the Piano,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/../../media/cache/d0/87/d0876dcd1a6530a4cb54903aad7a3e28.jpg,One,36.89,In stock (18 available),childrens_11,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
Sophie's World,http://books.toscrape.com/catalogue/sophies-world_966/../../media/cache/d7/39/d73914232130fdf90d66f02fd9798f2b.jpg,Five,15.94,In stock (18 available),philosophy_7,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
Penny Maybe,http://books.toscrape.com/catalogue/penny-maybe_965/../../media/cache/b1/4b/b14be641ab97a330891455a769d52fd3.jpg,Three,33.29,In stock (18 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Maude (1883-1993):She Grew Up with the country,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/../../media/cache/65/bf/65bfa3acc93b0e558a1c3de1b1164742.jpg,Two,18.02,In stock (18 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
In a Dark, Dark Wood,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/../../media/cache/95/84/95840dfd67c020067c99d70451147e20.jpg,One,19.63,In stock (18 available),mystery_3,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Behind Closed Doors,http://books.toscrape.com/catalogue/behind-closed-doors_962/../../media/cache/a5/85/a58571db229f2e8f75ea38861eca7f39.jpg,Four,52.22,In stock (18 available),thriller_37,http://books.toscrape.com/catalogue/category/books/thriller_37/index.html
You can't bury them all: Poems,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/../../media/cache/b7/44/b7440aa88046b0bf8cba50d59295518e.jpg,Two,33.63,In stock (17 available),poetry_23,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Slow States of Collapse: Poems,http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/../../media/cache/db/ac/dbac3faca8a799824f5725d66c0fcce3.jpg,Three,57.31,In stock (17 available),poetry_23,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Reasons to Stay Alive,http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/../../media/cache/f5/3c/f53c7d21723c860cfbca2b539bc55b8f.jpg,Two,26.41,In stock (17 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Private Paris (Private #10),http://books.toscrape.com/catalogue/private-paris-private-10_958/../../media/cache/05/87/0587ab519222a61f803fa4570c325ad2.jpg,Five,47.61,In stock (17 available),fiction_10,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/../../media/cache/71/45/71451e3bba61a8d888a4a2c6526a4bcf.jpg,Five,23.11,In stock (17 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Without Borders (Wanderlove #1),http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/../../media/cache/de/26/de269ee688d4dc51846567f3942600ce.jpg,Two,45.07,In stock (16 available),new-adult_20,http://books.toscrape.com/catalogue/category/books/new-adult_20/index.html
When We Collided,http://books.toscrape.com/catalogue/when-we-collided_955/../../media/cache/17/db/17db3de71e8217d4277a9328b04f56cf.jpg,One,31.77,In stock (16 available),contemporary_38,http://books.toscrape.com/catalogue/category/books/contemporary_38/index.html
We Love You, Charlie Freeman,http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/../../media/cache/87/a2/87a2fddd7f6b240c0351e1eb950b6716.jpg,Five,50.27,In stock (16 available),fiction_10,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
Untitled Collection: Sabbath Poems 2014,http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/../../media/cache/65/6e/656e79dfd4f8b6bf19ffde2c75ceda81.jpg,Four,14.27,In stock (16 available),poetry_23,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness,http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/../../media/cache/88/a4/88a4b5f7236b8a36ba972be5ebe4f252.jpg,Four,44.18,In stock (16 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Unicorn Tracks,http://books.toscrape.com/catalogue/unicorn-tracks_951/../../media/cache/9b/09/9b0935dc936c92900c2dc5d2114da72f.jpg,Three,18.78,In stock (16 available),fantasy_19,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink,http://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/../../media/cache/27/a1/27a1ebe79d6e6759ec68ea9f427a4f71.jpg,One,25.52,In stock (16 available),history_32,http://books.toscrape.com/catalogue/category/books/history_32/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/../../media/cache/8b/ab/8bab133ec9f8248a8d5f5ea5c09d0f56.jpg,One,16.28,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/../../media/cache/f4/21/f4210912ca58ef35f8ad120fe3dfed38.jpg,Three,31.12,In stock (16 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
This One Summer,http://books.toscrape.com/catalogue/this-one-summer_947/../../media/cache/ee/43/ee4364a59d66bafb1b3264419ab3ed9e.jpg,Four,19.49,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Thirst,http://books.toscrape.com/catalogue/thirst_946/../../media/cache/8c/54/8c54a50576c204b80165a13545f73028.jpg,Five,17.27,In stock (16 available),fiction_10,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
The Torch Is Passed: A Harding Family Story,http://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/../../media/cache/c7/26/c7260547c468dbe78af92cf3927c2a1c.jpg,One,19.09,In stock (16 available),add-a-comment_18,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
The Secret of Dreadwillow Carse,http://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/../../media/cache/7b/fd/7bfde4a3d6793f13e9a2d8851a398847.jpg,One,56.13,In stock (16 available),childrens_11,http://books.toscrape.com/catalogue/category/books/childrens_11/index.html
The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!,http://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/../../media/cache/fd/af/fdaf3c3104c559941c01e840fecd2659.jpg,One,56.41,In stock (16 available),food-and-drink_33,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
The Past Never Ends,http://books.toscrape.com/catalogue/the-past-never-ends_942/../../media/cache/9d/f2/9df248dcefeaba9eeb519a59b248f72c.jpg,Four,56.5,In stock (16 available),mystery_3,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Natural History of Us (The Fine Art of Pretending #2),http://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/../../media/cache/da/b8/dab87c14168f3ce18530447ec6437361.jpg,Three,45.22,In stock (16 available),young-adult_21,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
The Nameless City (The Nameless City #1),http://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/../../media/cache/19/de/19deee0778c2406da04a4dd0ea09188f.jpg,Four,38.16,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
The Murder That Never Was (Forensic Instincts #5),http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/../../media/cache/29/e0/29e036acd8a6e3daa787ce2bc05bdbbb.jpg,Three,54.11,In stock (16 available),fiction_10,http://books.toscrape.com/catalogue/category/books/fiction_10/index.html
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,http://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/../../media/cache/a3/9e/a39e7c5c9fc61c2ae0f81116aa8cbb0e.jpg,Four,42.96,In stock (16 available),science_22,http://books.toscrape.com/catalogue/category/books/science_22/index.html
The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy,http://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/../../media/cache/c9/eb/c9eb6ecf45abf796df0044600db65e55.jpg,Four,23.89,In stock (16 available),add-a-comment_18,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,http://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/../../media/cache/26/65/2665876e19a6c92130f02cfda3bd3846.jpg,Three,16.77,In stock (16 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer,http://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/../../media/cache/a5/b8/a5b8d2d5165a06fc762e8eaf8b04f98f.jpg,Five,20.59,In stock (16 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
The Gutsy Girl: Escapades for Your Life of Epic Adventure,http://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/../../media/cache/73/cb/73cb1236d96f455d712516fffeae2304.jpg,One,37.13,In stock (16 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
The Electric Pencil: Drawings from Inside State Hospital No. 3,http://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/../../media/cache/b1/0f/b10faf0dee8994865437ffc79682dc2f.jpg,One,56.06,In stock (16 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
The Death of Humanity: and the Case for Life,http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/../../media/cache/3f/f6/3ff6fe5d0c5ca7ab2ed8b5971e299caa.jpg,Four,58.11,In stock (16 available),philosophy_7,http://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life,http://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/../../media/cache/9c/c6/9cc673854af8fd155953384b3cac334e.jpg,Three,49.05,In stock (16 available),health_47,http://books.toscrape.com/catalogue/category/books/health_47/index.html
The Art Forger,http://books.toscrape.com/catalogue/the-art-forger_930/../../media/cache/f5/3b/f53bc7b18914c97de7c23967293be119.jpg,Three,40.76,In stock (16 available),add-a-comment_18,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,http://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/../../media/cache/2e/65/2e654066306042f4c462ba4d048650d9.jpg,One,19.73,In stock (16 available),history_32,http://books.toscrape.com/catalogue/category/books/history_32/index.html
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,http://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/../../media/cache/da/0c/da0ca35421a5120b2109028e44a53f56.jpg,Five,32.24,In stock (16 available),spirituality_39,http://books.toscrape.com/catalogue/category/books/spirituality_39/index.html
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,http://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/../../media/cache/17/19/1719475c51206a410a90fe5f3708df4c.jpg,Four,41.83,In stock (16 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Soul Reader,http://books.toscrape.com/catalogue/soul-reader_926/../../media/cache/cc/5e/cc5e82c2205da748c6c19fbc1876586b.jpg,Two,39.58,In stock (16 available),default_15,http://books.toscrape.com/catalogue/category/books/default_15/index.html
Security,http://books.toscrape.com/catalogue/security_925/../../media/cache/79/2b/792bdeb2cf7d8efaef0e401e5a27b4da.jpg,Two,39.25,In stock (16 available),horror_31,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
Saga, Volume 6 (Saga (Collected Editions) #6),http://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/../../media/cache/4a/99/4a996ae54711cea37e370428b54f8b19.jpg,Three,25.02,In stock (16 available),fantasy_19,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Saga, Volume 5 (Saga (Collected Editions) #5),http://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/../../media/cache/60/3c/603c8f3dd299efe67616a53e5bfb1d03.jpg,Two,51.04,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Reskilling America: Learning to Labor in the Twenty-First Century,http://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/../../media/cache/2c/d2/2cd2b814b8a8cd3a49895cbd13a8b1f4.jpg,Two,19.83,In stock (16 available),nonfiction_13,http://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15),http://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/../../media/cache/d5/d0/d5d015a9cf899301cce5d1a629bdd974.jpg,Three,50.4,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1),http://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/../../media/cache/6c/8f/6c8ffe949fb650ba60eff25be1692881.jpg,Five,13.61,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Princess Between Worlds (Wide-Awake Princess #5),http://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/../../media/cache/db/01/db01b38d3200a5faff4ead42791416e4.jpg,Five,13.34,In stock (16 available),fantasy_19,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Pop Gun War, Volume 1: Gift,http://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/../../media/cache/6f/7b/6f7b3b8445b943f4ff7426360daefb88.jpg,One,18.97,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics,http://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/../../media/cache/31/e6/31e6e0a41e62858180b268c27b20a770.jpg,Two,36.28,In stock (16 available),history_32,http://books.toscrape.com/catalogue/category/books/history_32/index.html
Patience,http://books.toscrape.com/catalogue/patience_916/../../media/cache/71/0c/710cdaa148f10aac35c27bb93b4f532e.jpg,Three,10.16,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1),http://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/../../media/cache/0c/8a/0c8ae80b592bc1b4c555d6b29d1cfa28.jpg,Four,15.44,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),http://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/../../media/cache/33/0b/330bf57e3f2e70548f87d39cb956f7eb.jpg,One,48.41,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Online Marketing for Busy Authors: A Step-By-Step Guide,http://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/../../media/cache/49/e1/49e1f207b2149e34390a2c6aa7cfc113.jpg,One,46.35,In stock (16 available),self-help_41,http://books.toscrape.com/catalogue/category/books/self-help_41/index.html
On a Midnight Clear,http://books.toscrape.com/catalogue/on-a-midnight-clear_912/../../media/cache/75/9d/759d9276739200e2cb8101a36449ba20.jpg,Three,14.07,In stock (16 available),add-a-comment_18,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Obsidian (Lux #1),http://books.toscrape.com/catalogue/obsidian-lux-1_911/../../media/cache/88/3f/883fb0f2304efca8724c629f03a4b82a.jpg,Two,14.86,In stock (16 available),young-adult_21,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
My Paris Kitchen: Recipes and Stories,http://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/../../media/cache/ae/d5/aed548aefcac7803a599b05da3acb86e.jpg,Two,33.37,In stock (16 available),food-and-drink_33,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
Masks and Shadows,http://books.toscrape.com/catalogue/masks-and-shadows_909/../../media/cache/05/c4/05c43fe821ae19169c7baa8a54c7e869.jpg,Two,56.4,In stock (16 available),fantasy_19,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
